Date,Date_Year,Rank,Symbol,Market Cap,Price,Circulating Supply,Volume,%1h,price_hr_1,%24h,price_hr_24,%7d
2014-01-26,2014,13,MEC,13184004.0,0.6,21899400.0,39486.0,-10.62,0.53628,-7.35,0.5559,-14.25
2014-01-26,2014,14,IFC,12466185.0,0.0,89922830336.0,194588.0,6.79,0.0,41.23,0.0,107.42
2014-01-26,2014,15,FTC,10211303.0,0.33,31174450.0,883188.0,1.79,0.335907,-10.43,0.29558100000000004,2.4
2014-01-26,2014,16,NVC,8438006.0,14.71,573493.0,67347.0,-0.19,14.682051000000001,2.94,15.142474,-1.23
2014-01-26,2014,17,TIX,4419120.0,0.0,66876280832.0,52440.0,4.16,0.0,25.35,0.0,65.58
2014-01-26,2014,18,DVC,3988307.0,0.0,6171420160.0,7583.0,0.41,0.0,5.36,0.0,17.99
2014-01-26,2014,19,YBC,3903550.0,4.06,961440.0,517.0,0.41,4.076645999999999,-5.67,3.829798,-13.56
2014-01-26,2014,20,MOON,3496139.0,0.0,25423534080.0,103589.0,-2.74,0.0,-4.09,0.0,1119.38
2014-02-02,2014,1,BTC,10190038594.0,825.37,12346025.0,11300875.0,-0.03,825.122389,-1.25,815.052875,-6.75
2014-02-02,2014,2,LTC,568440706.0,22.4,25376204.0,3546106.0,0.37,22.482879999999998,-0.94,22.189439999999998,-7.62
2014-02-02,2014,3,XRP,168555395.0,0.02,7817889792.0,112301.0,-0.03,0.019994,3.65,0.020730000000000002,6.99
2014-02-02,2014,4,PPC,121775514.0,5.77,21107370.0,855818.0,-0.64,5.733072,-3.12,5.589975999999999,-4.3
2014-02-02,2014,5,NXT,66887849.0,0.07,999998016.0,150627.0,3.25,0.072275,0.47,0.070329,-14.05
2014-02-02,2014,6,OMNI,53732367.0,86.74,619478.0,17114.0,4.24,90.41777599999999,10.99,96.27272599999999,-22.34
2014-02-02,2014,7,DOGE,53548742.0,0.0,41857077248.0,2000718.0,6.66,0.0,-13.01,0.0,-20.87
2014-02-02,2014,8,NMC,43247804.0,5.46,7927093.0,732771.0,0.02,5.461092,-3.45,5.27163,-11.11
2014-02-02,2014,9,QRK,24838590.0,0.1,247482608.0,206069.0,-0.93,0.09907,-2.28,0.09772,12.7
2014-02-02,2014,10,PTS,20423494.0,14.44,1413980.0,47812.0,3.86,14.997384,12.7,16.27388,16.71
2014-02-02,2014,11,MEC,14452782.0,0.66,22002200.0,37601.0,5.23,0.6945180000000001,3.58,0.683628,1.82
2014-02-02,2014,12,WDC,14181219.0,0.33,42955200.0,67850.0,3.07,0.340131,1.77,0.335841,-2.59
2014-02-02,2014,13,XPM,12906286.0,3.02,4272396.0,63829.0,0.4,3.03208,-2.93,2.931514,-11.25
